Timestamp,FPS,Inference Time (s),Latency (s),RAM Usage (%),CPU Usage (%),GPU Usage (%)
2025-07-03T09:51:36.410832,5.45,0.1252,0.1834,85.1,8.7,32.0
2025-07-03T09:51:36.676169,4.56,0.0937,0.1007,85.3,12.1,31.0
2025-07-03T09:51:36.962063,4.15,0.1136,0.1208,85.4,12.0,31.0
2025-07-03T09:51:37.222610,4.02,0.0932,0.1032,85.5,10.9,31.0
2025-07-03T09:51:37.487167,4.0,0.0912,0.1018,85.5,13.3,34.0
2025-07-03T09:51:37.751660,3.95,0.0967,0.1046,85.6,18.9,34.0
2025-07-03T09:51:38.012951,3.92,0.0984,0.1086,85.6,16.9,34.0
2025-07-03T09:51:38.277479,3.91,0.0934,0.1031,85.6,12.5,34.0
2025-07-03T09:51:38.540240,3.91,0.0917,0.1001,85.6,10.2,33.0
2025-07-03T09:51:38.805568,3.9,0.092,0.1006,85.6,12.8,33.0
2025-07-03T09:51:39.082733,3.88,0.0943,0.1017,85.6,12.8,33.0
2025-07-03T09:51:39.337614,3.86,0.0906,0.0993,85.7,10.6,33.0
2025-07-03T09:51:39.602074,3.87,0.0877,0.0943,85.6,9.9,40.0
2025-07-03T09:51:39.866243,3.86,0.0916,0.0999,85.7,13.2,40.0
2025-07-03T09:51:40.118544,3.86,0.0907,0.0984,85.7,15.3,40.0
2025-07-03T09:51:40.395774,3.86,0.0898,0.0974,85.7,8.1,40.0
2025-07-03T09:51:40.644360,3.85,0.0893,0.0969,85.6,8.5,35.0
2025-07-03T09:51:40.909390,3.85,0.0964,0.1037,85.7,6.3,35.0
2025-07-03T09:51:41.158648,3.85,0.0892,0.0973,85.7,9.3,35.0
2025-07-03T09:51:41.423744,3.86,0.0936,0.1023,85.7,11.2,35.0
2025-07-03T09:51:41.686588,3.85,0.0916,0.1016,85.7,11.5,34.0
2025-07-03T09:51:41.952712,3.85,0.095,0.103,85.7,13.9,34.0
2025-07-03T09:51:42.221559,3.85,0.093,0.0995,85.7,9.1,34.0
2025-07-03T09:51:42.478334,3.84,0.0924,0.1024,85.7,10.8,35.0
2025-07-03T09:51:42.727641,3.84,0.0899,0.0985,85.7,10.5,35.0
2025-07-03T09:51:43.020075,3.85,0.0978,0.1062,85.7,9.3,35.0
2025-07-03T09:51:43.269872,3.83,0.0875,0.0981,85.7,12.8,35.0
2025-07-03T09:51:43.526516,3.84,0.088,0.0965,85.7,14.6,32.0
2025-07-03T09:51:43.783884,3.84,0.0915,0.099,85.8,18.5,32.0
2025-07-03T09:51:44.049330,3.84,0.0922,0.0997,85.7,15.5,32.0
